Ticker,YahooFinance-Price-State,YahooFinance-URL
44460,,
29770,,
94650,,
76800,,
34480,,
44500,,
70720,,
48800,,
70730,,
70750,,
76840,,
70770,,
25570,,
44810,,
44820,,
76850,,
44860,,
29810,,
44870,,
70780,,
44880,,
70790,,
70800,,
25600,,
70820,,
14520,,
93260,,
44930,,
70980,,
76900,,
76910,,
29850,,
44970,,
40520,,
76890,,
44960,,
65990,,
73510,,
73520,,
44950,,
73530,,
40510,,
48830,,
40550,,
40560,,
40570,,
25670,,
49300,,
40580,,
40590,,
40600,,
34091,,
40110,,
40120,,
73380,,
73390,,
73370,,
29870,,
77900,,
40130,,
76920,,
50720,,
40140,,
73550,,
76930,,
40150,,
40160,,
73570,,
35781,,
40180,,
40190,,
41650,,
40200,,
41660,,
41670,,
76940,,
76950,,
41690,,
73590,,
41710,,
41720,,
73600,,
66130,,
29830,,
41730,,
41740,,
50730,,
41750,,
41770,,
73620,,
41760,,
66140,,
73630,,
41790,,
73430,,
62280,,
